"","beta","chi","kB","LS","time","generation"
"1",1.00192270069867e-08,3.51970809219416e-05,6.0575169216668e-06,0.000157752713975181,1.90938472674953,67
"2",1.00960845585382e-08,3.52140001273522e-05,9.74983122163405e-06,0.000157763870676202,1.69805958973037,59
"3",1.006068255924e-08,3.52725324215373e-05,9.94305086074572e-06,0.000157752733028851,1.58987879077593,55
"4",1.01232622668324e-08,3.52708886021241e-05,9.85795019613256e-06,0.000157770609316997,1.61815652721458,56
"5",1.01150367097965e-08,3.52555529339201e-05,9.93532623521046e-06,0.000157766187856306,1.95628674123022,68
"6",1.00718352629944e-08,3.51486924285186e-05,5.41063618371926e-06,0.000157785578731858,1.78324805061022,62
"7",1.00464388305442e-08,3.52502799123291e-05,3.49568501377179e-06,0.000157757738872599,1.72669099920326,60
"8",1.00056011691672e-08,3.52478788195816e-05,9.76524222800681e-06,0.000157736504760944,2.17972008062734,76
"9",1.00789041885966e-08,3.5229595740671e-05,9.22281870876051e-06,0.000157757830055555,1.6700729843643,58
"10",1.0019402991084e-08,3.52039797970676e-05,9.73364831392514e-06,0.000157747579046299,1.98712207853794,69
"11",1.00019751907803e-08,3.52463386442258e-05,8.94588470839909e-06,0.000157736782575452,1.67251863797506,58
"12",1.00224119344036e-08,3.52316799690685e-05,9.69543603080331e-06,0.000157742364903757,1.84452953696251,64
"13",1.01197857993425e-08,3.52742327309906e-05,1.5778381624182e-06,0.000157787885674418,1.53299033310678,53
"14",1.01853994842443e-08,3.51966569354098e-05,7.1950646710588e-06,0.000157792471988149,1.67111510680781,58
"15",1.00371093065688e-08,3.52384737682157e-05,6.06681942056473e-06,0.00015775063359842,1.5851229506731,55
"16",1.00900622608172e-08,3.52454788917054e-05,9.76096835331863e-06,0.000157759235377946,1.64030504518085,57
"17",1.00365207278656e-08,3.51792031317362e-05,8.26917814877241e-06,0.000157761646605956,1.61269726932049,56
"18",1.0027121322144e-08,3.52595975469205e-05,9.57216260943777e-06,0.000157742695612821,1.92698127932019,67
"19",1.00037115310258e-08,3.5264600720484e-05,9.94127852258804e-06,0.00015773589575554,1.66950934714741,58
"20",1.00581383069126e-08,3.52063968046759e-05,7.35032429149908e-06,0.000157758549783629,1.61504335767693,56
"21",1.01074559183863e-08,3.52358278128704e-05,9.98974818132587e-06,0.000157763817451245,1.95429330170155,68
"22",1.00060217618215e-08,3.52409919614953e-05,9.92502549501424e-06,0.000157736821373193,1.47312727954653,51
"23",1.01238255257758e-08,3.52571614945654e-05,9.8866480664449e-06,0.000157768862559778,1.58393684566021,55
"24",1.0013326393554e-08,3.52492877140809e-05,9.86315847561096e-06,0.000157738377367847,1.75762728578515,61
"25",1.01453787791072e-08,3.52219351204639e-05,9.9549033326358e-06,0.00015777497623193,1.66940007163419,58
"26",1.01164336403247e-08,3.52492174691702e-05,9.99429414890934e-06,0.00015776612089643,1.78386339949237,62
"27",1.02316845644488e-08,3.52152711089542e-05,9.87818820608217e-06,0.000157798233252575,1.78195068822967,62
"28",1.00184042852795e-08,3.52607777057954e-05,9.18774972240193e-06,0.00015774099120263,1.98175300379594,69
"29",1.00089006320891e-08,3.52427337685541e-05,8.78185891993434e-06,0.000157739027076048,2.12502499706215,74
"30",1.00110130594339e-08,3.52220265381767e-05,9.97091014946095e-06,0.000157740746031424,1.72942645099428,60
